Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
LUPIN,MPHASIS,positive,0.64471626,1074.816814512255,0.10648168145122545,0.3667270835606912,0.1623662256892027,1.0,1,11064.816814512254
DRREDDY,MPHASIS,positive,0.6128598,-887.1332424875623,-0.08971332424875618,-0.1587246390705256,0.1917175487954181,0.0,1,9102.866757512438
CIPLA,MPHASIS,positive,0.60264325,-1058.5011195332263,-0.10685011195332263,-0.20289925387608412,0.19680400130911233,0.0,1,8931.498880466774
WIPRO,DIVISLAB,positive,0.5867722,-2938.522767616359,-0.29485227676163595,-0.49825725674541316,0.4622025523984183,0.0,1,7051.4772323836405
AUROPHARMA,MPHASIS,positive,0.5838777,2.764600746067167,-0.0007235399253931973,0.09502241895171011,0.2474485319368002,1.0,1,9992.764600746068
ALKEM,MPHASIS,positive,0.554388,-34.8453597845484,-0.004484535978454915,0.084486128216126,0.18461168782006118,0.0,1,9955.15464021545
LTIM,DIVISLAB,positive,0.54204005,-2563.326185522304,-0.25733261855223044,-0.35906122823488623,0.46143354327404035,0.0,1,7426.6738144776955
ZYDUSLIFE,MPHASIS,positive,0.53681386,68.09024911102958,0.005809024911103006,0.1084359109962317,0.2500388073609091,1.0,1,10058.09024911103
SUNPHARMA,MPHASIS,positive,0.5324346,-182.0228906332226,-0.019202289063322314,0.031547642817784535,0.18639267482288976,0.0,1,9807.977109366777
DIVISLAB,MPHASIS,positive,0.5302678,2487.496655696398,0.2477496655696399,0.7014443391979844,0.13662605690835564,1.0,1,12477.4966556964
SBIN,CIPLA,positive,0.5243265,3476.6228826086576,0.3466622882608657,1.0343556685066013,0.14770302154726533,1.0,1,13466.622882608657
TECHM,DIVISLAB,positive,0.5150241,-1475.1454005192588,-0.1485145400519259,-0.1655882724943646,0.3891987320258601,0.0,1,8514.854599480741
HCLTECH,DIVISLAB,positive,0.513301,-2530.179462168261,-0.2540179462168261,-0.3743524917616232,0.45244563643791047,0.0,1,7459.820537831739
INFY,DIVISLAB,positive,0.48237196,-3078.2733131317455,-0.3088273313131745,-0.46576181618748547,0.4915963607053815,0.0,1,6911.726686868255
HCLTECH,MPHASIS,positive,0.47611445,-26.13755915801481,-0.0036137559158014483,0.06498627030362096,0.1969114118425402,0.0,1,9963.862440841986
PERSISTENT,AXISBANK,positive,0.4713816,840.5532209167214,0.08305532209167213,0.2977085139870387,0.23018107801745774,1.0,1,10830.553220916721
MPHASIS,DIVISLAB,positive,0.46968478,-2515.584069598798,-0.2525584069598798,-0.3647715027921146,0.43022473420165575,0.0,1,7474.415930401202
BIOCON,MPHASIS,positive,0.45927107,701.8745531853294,0.06918745531853292,0.26745540157341025,0.1827402791048152,1.0,1,10691.87455318533
MPHASIS,AXISBANK,positive,0.45504516,-564.9912319104155,-0.05749912319104151,-0.06167017460712601,0.22671172603760156,0.0,1,9425.008768089585
INFY,AXISBANK,positive,0.44474974,-1127.6804754433626,-0.11376804754433634,-0.2928030469169173,0.23537947139565954,0.0,1,8862.319524556637
COFORGE,ICICIPRULI,negative,-0.4989549,3016.158555948589,0.3006158555948588,0.7024668920454029,0.27791226517985784,1.0,1,13006.158555948588
BAJFINANCE,TCS,negative,-0.5006818,1169.2730843293662,0.11592730843293667,0.39348404575724005,0.12334782075353636,1.0,1,11159.273084329367
PERSISTENT,LTIM,negative,-0.5011425,2888.426758867494,0.2878426758867494,0.6117187206996616,0.35315973388123556,1.0,1,12878.426758867494
ZYDUSLIFE,LTIM,negative,-0.51628613,1562.5147217399392,0.1552514721739939,0.46727873786812785,0.3145588036510413,1.0,1,11552.514721739939
SBIN,LTIM,negative,-0.51804626,3921.992388373084,0.39119923883730845,0.9730817706084579,0.259948632367007,1.0,1,13911.992388373084
WIPRO,TCS,negative,-0.5366437,-385.5663133907507,-0.0395566313390751,0.01107079603701775,0.26701486524218393,0.0,1,9604.433686609249
SUNPHARMA,TCS,negative,-0.5412146,-133.1083394178601,-0.01431083394178604,0.027837429161057903,0.23515469815620055,0.0,1,9856.89166058214
ICICIBANK,LTIM,negative,-0.5419524,2335.6117411602036,0.23256117411602026,0.7261536915202522,0.2159115275654506,1.0,1,12325.611741160203
AXISBANK,LTIM,negative,-0.54568315,2035.2255790239146,0.20252255790239143,0.5980224229430768,0.261347825099002,1.0,1,12025.225579023914
ALKEM,TCS,negative,-0.55482155,14.069191430814117,0.00040691914308135893,0.08619169665867527,0.2736352300248376,1.0,1,10004.069191430814
LTIM,TCS,negative,-0.55735445,-10.369731296695331,-0.0020369731296696046,0.10017612906791001,0.32876953836793094,0.0,1,9979.630268703304
INFY,TORNTPHARM,negative,-0.5580423,2907.953123941752,0.2897953123941752,0.8345613572203542,0.18811425557103056,1.0,1,12897.953123941752
ZYDUSLIFE,TCS,negative,-0.5672767,117.0048003263921,0.01070048003263928,0.12054945933613125,0.30723549647184833,1.0,1,10107.004800326393
WIPRO,TORNTPHARM,negative,-0.5740057,3047.7036694571384,0.3037703669457138,0.8156801762188625,0.15933161460395623,1.0,1,13037.703669457138
TECHM,TCS,negative,-0.58369243,1077.8110537063496,0.10678110537063494,0.3546080225723887,0.27794069328305326,1.0,1,11067.81105370635
BIOCON,TCS,negative,-0.58780074,750.7891044006919,0.07407891044006919,0.27482952641676145,0.23930620502665936,1.0,1,10740.789104400692
PERSISTENT,TCS,negative,-0.6034367,1442.916837453947,0.14329168374539478,0.4007660610793295,0.29380342690027994,1.0,1,11432.916837453948
COFORGE,TCS,negative,-0.6243738,906.2324199308606,0.08962324199308605,0.3005108284990531,0.29700713742148,1.0,1,10896.23241993086
AUROPHARMA,TCS,negative,-0.63210577,51.67915196142968,0.004167915196142894,0.10472058333223616,0.32644331383650116,1.0,1,10041.679151961429
LUPIN,LTIM,negative,-0.6708234,2569.241287141165,0.2559241287141165,0.6825650533653081,0.25312821621477816,1.0,1,12559.241287141165
