Pair,Pair_Type,Action,Bought,Sold,Timestamp,Step,Price_A,Price_B,Shares_A,Shares_B,Transaction_Cost,Realised_PnL,Capital_After
ICICIBANK-COFORGE,positive,OPEN_LONG,ICICIBANK,COFORGE,2024-02-06,1,1009.847290039062,1284.462524414062,4.951243667551551,3.8926787702746473,10.0,,9990.0
ICICIBANK-COFORGE,positive,CLOSE,CLOSE,CLOSE,2025-12-23,466,1363.0,1775.95654296875,,,13.661773450617572,-178.34498632266124,9811.655013677339
ICICIBANK-COFORGE,positive,OPEN_LONG,ICICIBANK,COFORGE,2025-12-24,467,1359.800048828125,1733.557861328125,3.6077565308712183,2.8299185255231016,9.811655013677338,,9801.843358663662
ICICIBANK-COFORGE,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1334.199951171875,1655.400024414062,,,9.49811578356914,119.32327530407403,9921.166633967736
AXISBANK-ALKEM,positive,OPEN_LONG,AXISBANK,ALKEM,2024-02-05,0,1059.775756835938,4841.01904296875,4.717979221309967,1.032840390756603,10.0,,9990.0
AXISBANK-ALKEM,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1340.400024414062,5565.0,,,12.071736237989413,564.1509526304327,10554.150952630433
SBIN-ALKEM,positive,OPEN_LONG,SBIN,ALKEM,2024-02-05,0,619.8984985351562,4841.01904296875,8.065836603597509,1.032840390756603,10.0,,9990.0
SBIN-ALKEM,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1018.200012207031,5565.0,,,13.960391702803397,2450.917761979602,12440.917761979603
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-02-05,0,653.4868774414062,360.8580017089844,7.651263051488461,13.855865676583427,10.0,,9990.0
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-03-04,20,652.918212890625,344.6644287109375,,,9.77127302564903,210.253697193153,10200.253697193153
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-03-05,21,625.4069213867188,342.3695983886719,8.154893516829064,14.896552943368253,10.200253697193153,,10190.053443495959
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-06-05,80,676.0783081054688,342.8485107421875,,,10.620607603464006,395.4650122086301,10585.518455704589
BAJFINANCE-KOTAKBANK,positive,OPEN_SHORT,KOTAKBANK,BAJFINANCE,2024-06-07,82,711.15966796875,349.9525146484375,7.442434471811006,15.124221162317989,10.58551845570459,,10574.932937248885
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-06-21,91,709.0498046875,354.3326721191406,,,10.636062406802099,71.31292712107461,10646.24586436996
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-07-01,97,723.21240234375,360.80810546875,7.360386678842997,14.753335225851853,10.64624586436996,,10635.59961850559
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-07-02,98,712.1655883789062,353.1253967285156,,,10.451591464532209,21.585163672234778,10657.184782177825
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-07-03,99,721.4284057617188,361.3269348144531,7.386169366955725,14.74728805873613,10.657184782177826,,10646.527597395647
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-08-20,131,668.0974731445312,360.714111328125,,,10.254235996887536,-395.12805232309796,10251.399545072549
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-09-06,144,727.2276611328125,352.4236450195312,7.048273940174252,14.544142667420088,10.251399545072548,,10241.148145527477
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2024-12-23,217,682.4588623046875,348.6679992675781,,,9.881234139334676,-270.8013446278161,9970.34680089966
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2024-12-24,218,676.644775390625,349.4071350097656,7.367489681084,14.26752032499422,9.97034680089966,,9960.376454098761
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-04-07,289,851.5455322265625,407.1006469726562,,,12.082069676653049,453.35409697506,10413.73055107382
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-04-17,295,910.6309204101562,437.1160278320312,5.717865667455803,11.911860796689275,10.41373055107382,,10403.316820522747
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-04-21,296,921.662841796875,447.7637634277344,,,10.603643939832983,-74.3589436126121,10328.957876910135
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-04-22,297,920.370849609375,453.2374572753906,5.611302162217527,11.394642820346355,10.328957876910136,,10318.628919033225
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-04-23,298,926.5824584960938,444.8870544433594,,,10.268663233610027,119.73640882028926,10438.365327853513
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-04-24,299,924.39599609375,444.0879821777344,5.646046376208492,11.752587039921107,10.438365327853512,,10427.92696252566
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-06-05,328,893.4000244140625,407.5101623535156,,,9.833476623059669,245.0458410124623,10672.972803538123
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-06-10,331,949.75,429.7245483398438,5.618832747321991,12.418388529083401,10.672972803538123,,10662.299830734584
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-06-11,332,942.5,428.5658874511719,,,10.617847565031058,-36.96568389413439,10625.33414684045
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-06-12,333,936.8499755859376,424.8701171875,5.670776764548138,12.50421448462492,10.625334146840451,,10614.70881269361
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-06-13,334,933.0999755859376,420.99462890625,,,10.555608797271994,16.638915037072877,10631.347727730683
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-06-16,335,938.0,427.3073120117188,5.667029705613371,12.439931904838456,10.631347727730683,,10620.716380002952
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-06-26,343,951.5,440.2723999023438,,,10.869137439256084,-95.64904691309623,10525.067333089855
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-06-27,344,947.0,441.0714416503906,5.557057726024211,11.9312500642837,10.525067333089856,,10514.542265756765
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-07-03,348,910.1500244140624,424.8302001953125,,,10.12651157840127,-21.125639957091458,10493.416625799673
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-07-07,350,924.6500244140624,429.46484375,5.674263964059917,12.21685171500103,10.493416625799673,,10482.923209173874
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2025-08-21,382,895.5999755859375,403.5599975585938,,,10.012103315959745,141.62591608474884,10624.549125258623
BAJFINANCE-KOTAKBANK,positive,OPEN_LONG,BAJFINANCE,KOTAKBANK,2025-08-26,385,876.25,393.1400146484375,6.062510199862268,13.512423983042716,10.624549125258623,,10613.924576133364
BAJFINANCE-KOTAKBANK,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,902.3499755859376,407.25,,,10.973440597929361,-43.402176856860926,10570.522399276504
ICICIBANK-ALKEM,positive,OPEN_LONG,ICICIBANK,ALKEM,2024-02-05,0,1006.994079589844,4841.01904296875,4.965272489026486,1.032840390756603,10.0,,9990.0
ICICIBANK-ALKEM,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1334.199951171875,5565.0,,,12.372423086974687,864.5371147667215,10854.537114766721
COFORGE-ALKEM,positive,OPEN_LONG,COFORGE,ALKEM,2024-02-05,0,1246.383544921875,4841.01904296875,4.01160623499198,1.032840390756603,10.0,,9990.0
COFORGE-ALKEM,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1655.400024414062,5565.0,,,12.388569833905821,880.6677149509254,10870.667714950925
AXISBANK-COFORGE,positive,OPEN_LONG,AXISBANK,COFORGE,2024-02-05,0,1059.775756835938,1246.383544921875,4.717979221309967,4.01160623499198,10.0,,9990.0
AXISBANK-COFORGE,positive,CLOSE,CLOSE,CLOSE,2025-04-24,299,1206.069213867188,1436.712524414062,,,11.453734411317559,-84.76916475479572,9905.230835245204
AXISBANK-COFORGE,positive,OPEN_LONG,AXISBANK,COFORGE,2025-04-25,300,1165.30419921875,1464.254028320312,4.250062276393549,3.3823471350144687,9.905230835245204,,9895.325604409958
AXISBANK-COFORGE,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1340.400024414062,1655.400024414062,,,11.295921108918982,86.35012805049368,9981.675732460451
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-02-05,0,1414.61181640625,1012.980163574219,3.534538551149847,4.935930810686265,10.0,,9990.0
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-02-06,1,1458.598876953125,1009.150146484375,,,10.136569261895476,164.24209135201252,10154.242091352013
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-02-07,2,1464.028686523438,989.1043701171876,3.467910903940287,5.133048846073217,10.154242091352012,,10144.08784926066
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-09-03,141,1924.986206054688,1543.605712890625,,,14.599084177256945,-1262.3219536108097,8881.76589564985
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-09-04,142,1908.5673828125,1544.352905273438,2.326814860097189,2.8755622712016318,8.88176589564985,,8872.8841297542
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-09-05,143,1904.225708007812,1527.815063476562,,,8.824108028278395,28.629212436661874,8901.513342190861
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-09-06,144,1892.69775390625,1531.650634765625,2.351541159654109,2.9058563161020663,8.901513342190862,,8892.61182884867
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-09-23,155,1916.50244140625,1475.41162109375,,,8.794068551550046,210.60612698717208,9103.217955835842
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-09-30,160,1840.4970703125,1455.2373046875,2.473032449405148,3.127743470605532,9.103217955835841,,9094.114737880007
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-11-04,184,1605.743896484375,1401.937377929688,,,8.355957241457542,-422.1996758187583,8671.915062061249
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-11-05,185,1630.097412109375,1391.725708007812,2.6599376815277673,3.11552593020455,8.671915062061249,,8663.243146999188
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-11-18,193,1559.631591796875,1230.780029296875,,,7.983049935973971,306.01269473333736,8969.255841732525
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2024-11-21,195,1475.142333984375,1215.4375,3.0401323435367997,3.6897231826945136,8.969255841732526,,8960.286585890794
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2025-01-03,225,1444.949829101562,1314.515625,,,9.243037485816298,-466.6031028228535,8493.68348306794
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2025-01-06,226,1431.924682617188,1307.890502929688,2.9658275977000703,3.2470927283446143,8.49368348306794,,8485.189799584872
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2025-04-01,285,1545.25,1129.908569335938,,,8.251862994531024,905.775333166512,9390.965132751384
SBILIFE-AUROPHARMA,positive,OPEN_LONG,SBILIFE,AUROPHARMA,2025-04-23,298,1615.5,1242.137329101562,2.9065196944448726,3.7801638002232285,9.390965132751385,,9381.574167618632
SBILIFE-AUROPHARMA,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1974.300048828125,1172.099975585938,,,10.16907187261491,1297.4430048373117,10679.017172455944
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2024-02-05,0,360.8580017089844,283.8765258789062,13.855865676583427,17.61329149889928,10.0,,9990.0
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2024-03-15,28,346.8794555664062,250.9661865234375,,,9.226655741898947,376.7478869481815,10366.747886948182
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2024-03-18,29,346.7996215820312,249.9689025878906,14.946307956821192,20.736075126991388,10.366747886948183,,10356.381139061234
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2024-03-19,30,349.1443176269531,245.0822296142578,,,10.30046201819844,126.07450503663323,10482.455644097867
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2024-03-20,31,352.2872619628906,246.1792449951172,14.877710289170308,21.290291235367505,10.482455644097866,,10471.973188453769
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2024-06-03,78,342.8385314941406,308.8085632324219,,,11.675276594728079,-1485.6471762539772,8986.326012199792
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2024-06-04,79,326.8544921875,290.1095275878906,13.746676620624182,15.48781607918293,8.986326012199791,,8977.339686187592
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2024-08-05,121,354.3215026855469,339.9454650878906,,,10.135755957385387,-404.40547903910095,8572.934207148492
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2024-08-14,128,349.1773986816406,327.2124938964844,12.275900787846792,13.099949370913372,8.572934207148492,,8564.361272941343
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2025-05-26,320,417.3787536621094,331.9062194824219,,,9.471654842022188,766.2738449581909,9330.635117899534
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2025-06-02,325,412.2446899414062,333.5540161132812,11.316865135637928,13.986692810094475,9.330635117899535,,9321.304482781634
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2025-07-21,360,433.0400085449219,394.6499938964844,,,10.420503607174163,-629.6133607045845,8691.691122077049
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2025-07-22,361,432.0400085449219,387.2000122070312,10.058896109355715,11.223774338919322,8.69169112207705,,8682.999430954971
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2025-07-23,362,434.0799865722656,396.9500122070312,,,8.821642848923931,-97.73351561096813,8585.265915344004
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2025-07-24,363,428.4200134277344,397.6000061035156,10.019683542155718,10.796360391791367,8.585265915344003,,8576.68064942866
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2025-07-25,364,424.9200134277344,394.1499938964844,,,8.51294944780327,-6.334266702159381,8570.3463827265
KOTAKBANK-BIOCON,positive,OPEN_LONG,KOTAKBANK,BIOCON,2025-07-28,365,393.3200073242188,387.4500122070312,10.89487722863517,11.059938201972486,8.5703463827265,,8561.776036343774
KOTAKBANK-BIOCON,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,407.25,368.2000122070312,,,8.509208132336953,356.1601622540566,8917.93619859783
HCLTECH-HDFCBANK,positive,OPEN_LONG,HCLTECH,HDFCBANK,2024-02-05,0,1447.240234375,703.1878662109375,3.454851434640554,7.110475365483815,10.0,,9990.0
HCLTECH-HDFCBANK,positive,CLOSE,CLOSE,CLOSE,2025-05-22,318,1595.912353515625,947.1474609375,,,12.248308772580677,-1233.276913145179,8756.723086854821
HCLTECH-HDFCBANK,positive,OPEN_SHORT,HDFCBANK,HCLTECH,2025-05-26,320,1635.590209960938,957.1620483398438,2.676930637492613,4.574315865345361,8.756723086854821,,8747.966363767966
HCLTECH-HDFCBANK,positive,CLOSE,CLOSE,CLOSE,2025-05-30,324,1599.430541992188,959.4807739257812,,,8.67053274706285,98.73297351518043,8846.699337283146
HCLTECH-HDFCBANK,positive,OPEN_LONG,HCLTECH,HDFCBANK,2025-06-09,330,1610.864868164062,976.2539672851562,2.7459470723220636,4.530941555036515,8.846699337283146,,8837.852637945862
HCLTECH-HDFCBANK,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1666.199951171875,922.0999755859376,,,8.753277975104057,388.56250256799046,9226.415140513853
SBIN-COFORGE,positive,OPEN_LONG,SBIN,COFORGE,2024-02-05,0,619.8984985351562,1246.383544921875,8.065836603597509,4.01160623499198,10.0,,9990.0
SBIN-COFORGE,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1018.200012207031,1655.400024414062,,,14.853447987588229,1556.9684209099858,11546.968420909985
HCLTECH-SUNPHARMA,positive,OPEN_LONG,HCLTECH,SUNPHARMA,2024-02-05,0,1447.240234375,1437.478393554688,3.454851434640554,3.478313150596777,10.0,,9990.0
HCLTECH-SUNPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-06-14,87,1349.456665039062,1497.22607421875,,,9.869993438566926,-555.51884161457,9434.48115838543
HCLTECH-SUNPHARMA,positive,OPEN_LONG,HCLTECH,SUNPHARMA,2024-06-19,89,1363.41259765625,1485.374755859375,3.459877506854347,3.1757915371757606,9.43448115838543,,9425.046677227045
HCLTECH-SUNPHARMA,positive,CLOSE,CLOSE,CLOSE,2024-10-15,170,1776.994506835938,1880.885620117188,,,12.121483958769142,162.76120528287726,9587.807882509922
HCLTECH-SUNPHARMA,positive,OPEN_LONG,HCLTECH,SUNPHARMA,2024-10-16,171,1772.385864257812,1880.93505859375,2.7047744161864054,2.54868126326437,9.587807882509923,,9578.220074627412
HCLTECH-SUNPHARMA,positive,CLOSE,CLOSE,CLOSE,2025-07-23,362,1506.767456054688,1682.5,,,8.363622291721297,-221.0537814550305,9357.166293172382
HCLTECH-SUNPHARMA,positive,OPEN_LONG,HCLTECH,SUNPHARMA,2025-07-24,363,1484.507690429688,1692.0,3.1516058668796685,2.7651200629942028,9.357166293172382,,9347.80912687921
HCLTECH-SUNPHARMA,positive,CLOSE,CLOSE,CLOSE,2025-11-19,442,1650.642456054688,1784.099975585938,,,10.135425085502764,258.78838665697265,9606.597513536182
HCLTECH-SUNPHARMA,positive,OPEN_LONG,HCLTECH,SUNPHARMA,2025-11-20,443,1633.566162109375,1777.400024414062,2.940376011808261,2.702429779898055,9.606597513536183,,9596.990916022645
